,drift_score,is_drifted
sensor_44,0.09279141772623822,0
sensor_469,0.09271046727650163,0
sensor_20,0.09210128509408495,0
sensor_165,0.09172855178595352,0
sensor_68,0.09167528234919206,0
sensor_418,0.09035095178216333,0
sensor_246,0.08981903259392228,0
sensor_361,0.08922217097065284,0
sensor_419,0.08874156896923939,0
sensor_109,0.08813903229164329,0
sensor_518,0.08757152117979307,0
sensor_91,0.08738592407747715,0
sensor_382,0.08664915584223798,0
sensor_81,0.08547699619831267,0
sensor_156,0.08537287359551828,0
sensor_244,0.08532257937081295,0
sensor_410,0.08527636290914883,0
sensor_516,0.08491719936038929,0
sensor_409,0.08418511271882814,0
sensor_272,0.0841642989889541,0
sensor_209,0.08407216095457498,0
sensor_478,0.08407216095457495,0
sensor_206,0.08407216095457493,0
sensor_342,0.0840721609545749,0
sensor_347,0.08407216095457488,0
sensor_74,0.08407216095457486,0
sensor_429,0.0829681516208022,0
sensor_252,0.0826571074359781,0
sensor_390,0.08265292268791187,0
sensor_120,0.08094975746480468,0
sensor_339,0.08085803805448531,0
sensor_216,0.08018138786881625,0
sensor_588,0.07962117965869765,0
sensor_587,0.07898335721840781,0
sensor_104,0.0779228322870453,0
sensor_500,0.0778151715121571,0
sensor_271,0.07712925294470155,0
sensor_291,0.07695094192012046,0
sensor_88,0.0767904437965064,0
sensor_332,0.07642508544234812,0
sensor_493,0.07642164406693859,0
sensor_524,0.07538741498556806,0
sensor_521,0.0753660452249641,0
sensor_99,0.07536433756409111,0
sensor_223,0.07501006565207856,0
sensor_238,0.0737657984944097,0
sensor_352,0.07376098188271613,0
sensor_495,0.0735870976566907,0
sensor_39,0.07318423338934045,0
sensor_119,0.07203668335218687,0
sensor_511,0.07183857984134506,0
sensor_333,0.07181735846365245,0
sensor_565,0.07079943322238115,0
sensor_376,0.07045718096897471,0
sensor_102,0.07029361405764004,0
sensor_35,0.06790821910949836,0
sensor_214,0.067807079492836,0
sensor_479,0.06779296444686744,0
sensor_12,0.0672385980869895,0
sensor_488,0.06640728442134237,0
sensor_281,0.06557450838627889,0
sensor_557,0.06487418899935457,0
sensor_343,0.06471001329302951,0
sensor_67,0.06421566127885457,0
sensor_221,0.06411298515033992,0
sensor_471,0.06331565683393973,0
sensor_1,0.060740587453523634,0
sensor_406,0.059791847454286805,0
sensor_75,0.059723969296859254,0
sensor_560,0.05852082638477947,0
sensor_185,0.05804116208203959,0
sensor_321,0.05763236066425914,0
sensor_584,0.05743733931035758,0
sensor_207,0.05742756498166563,0
sensor_19,0.056942211275762454,0
sensor_116,0.0556057393902368,0
sensor_15,0.055518733815194884,0
sensor_154,0.055278556415780424,0
sensor_64,0.052396072767969995,0
sensor_457,0.05231835896951094,0
sensor_150,0.05224896205688566,0
sensor_582,0.05020960149147147,0
sensor_427,0.04953574108780184,0
sensor_225,0.04920218568898554,0
sensor_360,0.048734499601923977,0
sensor_199,0.048418335182045566,0
sensor_16,0.04810610719888659,0
sensor_456,0.04735095447894154,0
sensor_65,0.04733610198978585,0
sensor_285,0.046483822054289796,0
sensor_184,0.04637606332467319,0
sensor_289,0.04574840335630899,0
sensor_585,0.04477409338423595,0
sensor_340,0.04474187625632838,0
sensor_135,0.04450746210416261,0
sensor_583,0.04423731813007204,0
sensor_222,0.04417046142625075,0
sensor_494,0.04345350265273888,0
sensor_152,0.04342011836921233,0
